Accessions,Mother,Location,Date,Height,rockdust,section
S251,Albens_3823,T13C1,20/09/18,2,y,Adnataria
S252,Albens_3823,T13C2,20/09/18,1.9,n,Adnataria
S253,Albens_3823,T13C3,20/09/18,3.1,y,Adnataria
S254,Albens_3823,T13C4,20/09/18,3.4,n,Adnataria
S255,Albens_3823,T13C5,20/09/18,0.6,y,Adnataria
S256,Albens_3823,T13D1,20/09/18,3.3,n,Adnataria
S257,Albens_3823,T13D2,20/09/18,1,y,Adnataria
S258,Albens_3823,T13D3,20/09/18,4,n,Adnataria
S259,Albens_3823,T13D4,20/09/18,0.7,y,Adnataria
S260,Albens_3823,T13D5,20/09/18,2.1,n,Adnataria
S261,Mel_707,T14A1,20/09/18,0,n,Adnataria
S262,Mel_707,T14A2,20/09/18,7,y,Adnataria
S263,Mel_707,T14A3,20/09/18,4.1,n,Adnataria
S264,Mel_707,T14A4,20/09/18,5.9,y,Adnataria
S265,Mel_707,T14A5,20/09/18,3.4,n,Adnataria
S266,Mel_707,T14B1,20/09/18,0,y,Adnataria
S267,Mel_707,T14B2,20/09/18,3.2,n,Adnataria
S268,Mel_707,T14B3,20/09/18,4,y,Adnataria
S269,Mel_707,T14B4,20/09/18,4.1,n,Adnataria
S270,Mel_707,T14B5,20/09/18,3.2,y,Adnataria
S271,Mel_707,T14C1,20/09/18,4.5,n,Adnataria
S272,Mel_707,T14C2,20/09/18,4.8,y,Adnataria
S273,Mel_707,T14C3,20/09/18,5.7,n,Adnataria
S274,Mel_707,T14C4,20/09/18,6.3,y,Adnataria
S275,Mel_707,T14C5,20/09/18,0,n,Adnataria
S276,Mel_707,T14D1,20/09/18,3.7,y,Adnataria
S277,Mel_707,T14D2,20/09/18,3.5,n,Adnataria
S278,Mel_707,T14D3,20/09/18,7.4,y,Adnataria
S279,Mel_707,T14D4,20/09/18,5.9,n,Adnataria
S280,Mel_707,T14D5,20/09/18,8,y,Adnataria
S281,colour checker,T15A1,20/09/18,,,
S282,Sid_ABG,T15A2,20/09/18,0,n,Adnataria
S283,Sid_ABG,T15A3,20/09/18,3.6,y,Adnataria
S284,Sid_ABG,T15A4,20/09/18,7.5,n,Adnataria
S285,Sid_ABG,T15A5,20/09/18,4.5,y,Adnataria
S286,Sid_ABG,T15B1,20/09/18,2.4,n,Adnataria
S287,Sid_ABG,T15B2,20/09/18,5,y,Adnataria
S288,Sid_ABG,T15B3,20/09/18,4.2,n,Adnataria
S289,Sid_ABG,T15B4,20/09/18,4.9,y,Adnataria
S290,Sid_ABG,T15B5,20/09/18,3.9,n,Adnataria
S291,Sid_ABG,T15C1,20/09/18,1.7,y,Adnataria
S292,Sid_ABG,T15C2,20/09/18,5.7,n,Adnataria
S293,Sid_ABG,T15C3,20/09/18,1.8,y,Adnataria
